step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,-0.0928361266851425,-0.0928361266851425,-0.0928361266851425,-0.0928361266851425,-0.0928361266851425,-0.0928361266851425,-0.0928361266851425,0
2,Baden-Württemberg,2015-07-05,2015-07-19,0.0559120774269104,0.0559120774269104,0.0559120774269104,0.0559120774269104,0.0559120774269104,0.0559120774269104,0.0559120774269104,0
3,Baden-Württemberg,2015-07-05,2015-07-26,0.185866266489029,0.185866266489029,0.185866266489029,0.185866266489029,0.185866266489029,0.185866266489029,0.185866266489029,0
4,Baden-Württemberg,2015-07-05,2015-08-02,-0.0725286602973938,-0.0725286602973938,-0.0725286602973938,-0.0725286602973938,-0.0725286602973938,-0.0725286602973938,-0.0725286602973938,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.0814372599124908,0.0814372599124908,0.0814372599124908,0.0814372599124908,0.0814372599124908,0.0814372599124908,0.0814372599124908,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.00684494292363524,0.00684494292363524,0.00684494292363524,0.00684494292363524,0.00684494292363524,0.00684494292363524,0.00684494292363524,0
1,Bavaria,2015-07-05,2015-07-12,-0.340653479099274,-0.340653479099274,-0.340653479099274,-0.340653479099274,-0.340653479099274,-0.340653479099274,-0.340653479099274,0
2,Bavaria,2015-07-05,2015-07-19,0.149280413985252,0.149280413985252,0.149280413985252,0.149280413985252,0.149280413985252,0.149280413985252,0.149280413985252,0
3,Bavaria,2015-07-05,2015-07-26,0.38096097111702,0.38096097111702,0.38096097111702,0.38096097111702,0.38096097111702,0.38096097111702,0.38096097111702,0
4,Bavaria,2015-07-05,2015-08-02,-0.286541670560837,-0.286541670560837,-0.286541670560837,-0.286541670560837,-0.286541670560837,-0.286541670560837,-0.286541670560837,0
5,Bavaria,2015-07-05,2015-08-09,-0.0643325001001358,-0.0643325001001358,-0.0643325001001358,-0.0643325001001358,-0.0643325001001358,-0.0643325001001358,-0.0643325001001358,0
6,Bavaria,2015-07-05,2015-08-16,0.183925956487656,0.183925956487656,0.183925956487656,0.183925956487656,0.183925956487656,0.183925956487656,0.183925956487656,0
1,Berlin,2015-07-05,2015-07-12,0.0586797297000885,0.0586797297000885,0.0586797297000885,0.0586797297000885,0.0586797297000885,0.0586797297000885,0.0586797297000885,0
2,Berlin,2015-07-05,2015-07-19,0.0512567013502121,0.0512567013502121,0.0512567013502121,0.0512567013502121,0.0512567013502121,0.0512567013502121,0.0512567013502121,0
3,Berlin,2015-07-05,2015-07-26,0.0587489306926727,0.0587489306926727,0.0587489306926727,0.0587489306926727,0.0587489306926727,0.0587489306926727,0.0587489306926727,0
4,Berlin,2015-07-05,2015-08-02,-0.157588794827461,-0.157588794827461,-0.157588794827461,-0.157588794827461,-0.157588794827461,-0.157588794827461,-0.157588794827461,0
5,Berlin,2015-07-05,2015-08-09,0.251940906047821,0.251940906047821,0.251940906047821,0.251940906047821,0.251940906047821,0.251940906047821,0.251940906047821,0
6,Berlin,2015-07-05,2015-08-16,-0.0754129141569138,-0.0754129141569138,-0.0754129141569138,-0.0754129141569138,-0.0754129141569138,-0.0754129141569138,-0.0754129141569138,0
1,Brandenburg,2015-07-05,2015-07-12,-0.0559420213103294,-0.0559420213103294,-0.0559420213103294,-0.0559420213103294,-0.0559420213103294,-0.0559420213103294,-0.0559420213103294,0
2,Brandenburg,2015-07-05,2015-07-19,-0.0374429002404213,-0.0374429002404213,-0.0374429002404213,-0.0374429002404213,-0.0374429002404213,-0.0374429002404213,-0.0374429002404213,0
3,Brandenburg,2015-07-05,2015-07-26,0.0772398486733437,0.0772398486733437,0.0772398486733437,0.0772398486733437,0.0772398486733437,0.0772398486733437,0.0772398486733437,0
4,Brandenburg,2015-07-05,2015-08-02,-0.123119063675404,-0.123119063675404,-0.123119063675404,-0.123119063675404,-0.123119063675404,-0.123119063675404,-0.123119063675404,0
5,Brandenburg,2015-07-05,2015-08-09,0.262671887874603,0.262671887874603,0.262671887874603,0.262671887874603,0.262671887874603,0.262671887874603,0.262671887874603,0
6,Brandenburg,2015-07-05,2015-08-16,-0.19693461060524,-0.19693461060524,-0.19693461060524,-0.19693461060524,-0.19693461060524,-0.19693461060524,-0.19693461060524,0
1,Bremen,2015-07-05,2015-07-12,-0.0415221601724625,-0.0415221601724625,-0.0415221601724625,-0.0415221601724625,-0.0415221601724625,-0.0415221601724625,-0.0415221601724625,0
2,Bremen,2015-07-05,2015-07-19,-0.0136505663394928,-0.0136505663394928,-0.0136505663394928,-0.0136505663394928,-0.0136505663394928,-0.0136505663394928,-0.0136505663394928,0
3,Bremen,2015-07-05,2015-07-26,-0.0380555838346481,-0.0380555838346481,-0.0380555838346481,-0.0380555838346481,-0.0380555838346481,-0.0380555838346481,-0.0380555838346481,0
4,Bremen,2015-07-05,2015-08-02,-0.138806000351906,-0.138806000351906,-0.138806000351906,-0.138806000351906,-0.138806000351906,-0.138806000351906,-0.138806000351906,0
5,Bremen,2015-07-05,2015-08-09,0.107797279953957,0.107797279953957,0.107797279953957,0.107797279953957,0.107797279953957,0.107797279953957,0.107797279953957,0
6,Bremen,2015-07-05,2015-08-16,0.0325759835541248,0.0325759835541248,0.0325759835541248,0.0325759835541248,0.0325759835541248,0.0325759835541248,0.0325759835541248,0
1,Hamburg,2015-07-05,2015-07-12,0.017637200653553,0.017637200653553,0.017637200653553,0.017637200653553,0.017637200653553,0.017637200653553,0.017637200653553,0
2,Hamburg,2015-07-05,2015-07-19,0.00445300340652466,0.00445300340652466,0.00445300340652466,0.00445300340652466,0.00445300340652466,0.00445300340652466,0.00445300340652466,0
3,Hamburg,2015-07-05,2015-07-26,0.0667080134153366,0.0667080134153366,0.0667080134153366,0.0667080134153366,0.0667080134153366,0.0667080134153366,0.0667080134153366,0
4,Hamburg,2015-07-05,2015-08-02,-0.0705897882580757,-0.0705897882580757,-0.0705897882580757,-0.0705897882580757,-0.0705897882580757,-0.0705897882580757,-0.0705897882580757,0
5,Hamburg,2015-07-05,2015-08-09,0.667609095573425,0.667609095573425,0.667609095573425,0.667609095573425,0.667609095573425,0.667609095573425,0.667609095573425,0
6,Hamburg,2015-07-05,2015-08-16,-0.112460985779762,-0.112460985779762,-0.112460985779762,-0.112460985779762,-0.112460985779762,-0.112460985779762,-0.112460985779762,0
1,Hesse,2015-07-05,2015-07-12,-0.0610890425741673,-0.0610890425741673,-0.0610890425741673,-0.0610890425741673,-0.0610890425741673,-0.0610890425741673,-0.0610890425741673,0
2,Hesse,2015-07-05,2015-07-19,0.0136580020189285,0.0136580020189285,0.0136580020189285,0.0136580020189285,0.0136580020189285,0.0136580020189285,0.0136580020189285,0
3,Hesse,2015-07-05,2015-07-26,0.0661292299628258,0.0661292299628258,0.0661292299628258,0.0661292299628258,0.0661292299628258,0.0661292299628258,0.0661292299628258,0
4,Hesse,2015-07-05,2015-08-02,-0.131024584174156,-0.131024584174156,-0.131024584174156,-0.131024584174156,-0.131024584174156,-0.131024584174156,-0.131024584174156,0
5,Hesse,2015-07-05,2015-08-09,0.143305525183678,0.143305525183678,0.143305525183678,0.143305525183678,0.143305525183678,0.143305525183678,0.143305525183678,0
6,Hesse,2015-07-05,2015-08-16,-0.0146397147327662,-0.0146397147327662,-0.0146397147327662,-0.0146397147327662,-0.0146397147327662,-0.0146397147327662,-0.0146397147327662,0
1,Mecklenburg-Vorpommern,2015-07-05,2015-07-12,0.119201645255089,0.119201645255089,0.119201645255089,0.119201645255089,0.119201645255089,0.119201645255089,0.119201645255089,0
2,Mecklenburg-Vorpommern,2015-07-05,2015-07-19,-0.110089153051376,-0.110089153051376,-0.110089153051376,-0.110089153051376,-0.110089153051376,-0.110089153051376,-0.110089153051376,0
3,Mecklenburg-Vorpommern,2015-07-05,2015-07-26,-0.00414282456040382,-0.00414282456040382,-0.00414282456040382,-0.00414282456040382,-0.00414282456040382,-0.00414282456040382,-0.00414282456040382,0
4,Mecklenburg-Vorpommern,2015-07-05,2015-08-02,-0.240362942218781,-0.240362942218781,-0.240362942218781,-0.240362942218781,-0.240362942218781,-0.240362942218781,-0.240362942218781,0
5,Mecklenburg-Vorpommern,2015-07-05,2015-08-09,0.565348505973816,0.565348505973816,0.565348505973816,0.565348505973816,0.565348505973816,0.565348505973816,0.565348505973816,0
6,Mecklenburg-Vorpommern,2015-07-05,2015-08-16,-0.343532085418701,-0.343532085418701,-0.343532085418701,-0.343532085418701,-0.343532085418701,-0.343532085418701,-0.343532085418701,0
1,Lower Saxony,2015-07-05,2015-07-12,-0.148662507534027,-0.148662507534027,-0.148662507534027,-0.148662507534027,-0.148662507534027,-0.148662507534027,-0.148662507534027,0
2,Lower Saxony,2015-07-05,2015-07-19,0.0186116695404053,0.0186116695404053,0.0186116695404053,0.0186116695404053,0.0186116695404053,0.0186116695404053,0.0186116695404053,0
3,Lower Saxony,2015-07-05,2015-07-26,-0.0540910810232162,-0.0540910810232162,-0.0540910810232162,-0.0540910810232162,-0.0540910810232162,-0.0540910810232162,-0.0540910810232162,0
